Deciles,Total Population,Percent
Decile 1 (>958 per km²),"212,797,965",18%
Decile 10 (<9 per km²),"25,530,968",2%
Decile 2 (456 - 957 per km²),"112,837,064",10%
Decile 3 (273 - 455 per km²),"88,018,046",8%
Decile 4 (108 - 272 per km²),"139,890,333",12%
Decile 5 (107 - 171 per km²),"134,652,540",12%
Decile 6 (64 - 106 per km²),"140,170,957",12%
Decile 7 (40 - 63 per km²),"121,535,766",11%
Decile 8 (22 - 39 per km²),"103,085,613",9%
Decile 9 (10 - 21 per km²),"76,466,927",7%
,,
Total Population,"1,154,986,179",
